Kode Prov;Provinsi;Paved;Paved_%;UnPaved;UnPaved_%;Jumlah
11;Aceh;10905.91136;56.16394424;8512.08271;43.83605576;19417.99407
12;Sumatera Utara;19185.8563;62.49689133;11513.0407;37.50310867;30698.897
13;Sumatera Barat;12478.17028;65.57047277;6551.996429;34.42952723;19030.16671
14;Riau;9030.032757;47.41931305;10012.91025;52.58068695;19042.943
15;Jambi;4854.027201;51.3339557;4601.755302;48.6660443;9455.782503
16;Sumatera Selatan;9717.373;63.73606372;5528.898;36.26393628;15246.271
17;Bengkulu;4427.027102;64.48206459;2438.489892;35.51793541;6865.516994
18;Lampung;12008.76;67.94036607;5666.682;32.05963393;17675.442
19;Kep. Bangka Belitung;3196.5758;84.44776198;588.6942;15.55223802;3785.27
21;Kepulauan Riau;2259.895146;54.57045496;1881.347854;45.42954504;4141.243
31;DKI Jakarta;12;80;3;20;15
32;Jawa Barat;19127.25177;92.98354969;1443.324246;7.016450313;20570.57602
33;Jawa Tengah;23451.531;92.58917419;1877.05758;7.41082581;25328.58858
34;DI Yogyakarta;2922.6387;88.91119363;364.505;11.08880637;3287.1437
35;Jawa Timur;28883.1682;92.25731812;2424.01565;7.742681877;31307.18385
36;Banten;2217.206;97.67216479;52.843;2.327835214;2270.049
51;Bali;6694.3802;93.50339379;465.12485;6.496606214;7159.50505
52;Nusa Tenggara Barat;4716.041001;77.63991526;1358.207;22.36008474;6074.248001
53;Nusa Tenggara Timur;12030.97763;65.02835416;6470.148199;34.97164584;18501.12582
61;Kalimantan Barat;5490.6093;37.7075682;9070.418;62.2924318;14561.0273
62;Kalimantan Tengah;5000.7854;35.93901073;8913.8586;64.06098927;13914.644
63;Kalimantan Selatan;8011.333;70.92273002;3284.528;29.07726998;11295.861
64;Kalimantan Timur;4649.444;49.85183656;4677.081;50.14816344;9326.525
65;Kalimantan Utara;1178.515;47.82183155;1285.872;52.17816845;2464.387
71;Sulawesi Utara;5203.853442;72.98152174;1926.517805;27.01847826;7130.371248
72;Sulawesi Tengah;5499.175;42.71389336;7375.266;57.28610664;12874.441
73;Sulawesi Selatan;17119.53388;65.36672639;9070.448129;34.63327361;26189.98201
74;Sulawesi Tenggara;4443.117218;47.46654881;4917.405782;52.53345119;9360.523
75;Gorontalo;2163.189;51.00839478;2077.66;48.99160522;4240.849
76;Sulawesi Barat;2038.243;43.19661335;2680.282;56.80338665;4718.525
81;Maluku;3326.678907;43.17742749;4377.992493;56.82257251;7704.6714
82;Maluku Utara;2068.582;44.18602467;2612.947999;55.81397533;4681.529999
91;Papua;3701.848726;27.23729788;9889.252498;72.76270212;13591.10122
92;Papua Barat;1971.231862;23.02016409;6591.834213;76.97983591;8563.066074
